country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Moldova,2780,2850,3200,2860,2550,2730,3020,2810,2510,2280,1730,1910,1840,2430,2630,2930,2920,2910,2630,2710,2940,3610,3770,3620,4810,5140,4990,4860
Madagascar,9080,7460,3570,3590,8670,3220,3720,4010,4390,5420,6260,6020,8130,9860,10.7k,21.6k,12.7k,,14.7k,,,16.4k,16.7k,19.3k,20k,19k,22k,21.9k
Maldives,73,112,111,143,123,91,111,115,85,203,152,123,92,175,249,231,212,173,176,153,132,139,125,137,119,122,99,127
Mexico,31.3k,32.6k,24.9k,22.8k,14.5k,15k,13.2k,14.6k,15.4k,15.5k,14.4k,15.2k,14.4k,15.1k,16.4k,11.3k,20.7k,23.6k,21.5k,19.8k,18.4k,18.9k,17.8k,17.1k,15.1k,18.5k,17.9k,18.3k
North Macedonia,,,,,,,,,,,,,1600,1710,728,786,724,693,620,557,641,648,686,653,644,598,561,526
Mali,839,933,187,532,1870,1620,1850,2530,2580,1630,2930,2630,3110,3200,3080,3090,3660,5020,4140,4470,4220,,4460,4500,4530,4700,4990,5170
Malta,24,26,13,24,15,11,14,14,12,16,13,26,30,26,25,11,28,11,16,22,16,16,24,6,18,21,30,38
Myanmar,12.7k,12.5k,12.1k,11k,11k,10.5k,10.8k,12k,9350,10.9k,12.4k,14.9k,17k,19k,15.6k,18.2k,22.2k,17.1k,14.8k,19.6k,30.8k,42.8k,57k,75.7k,96.7k,107k,123k,129k
Mongolia,1160,1090,1330,1510,1650,2990,2820,2430,2540,2230,1660,1610,1520,1420,1730,2780,4060,3590,2920,3350,3110,3530,3830,3920,4540,4600,5050,4650
Northern Mariana Islands,,26,75,74,58,64,16,56,27,28,28,,67,,46,48,51,93,97,66,75,58,53,45,53,57,51,44
Mozambique,7460,6980,5790,5940,5200,5650,8260,11k,13.9k,16k,15.9k,16.6k,15.1k,16.6k,17.2k,17.9k,18.4k,18.8k,19.7k,20.6k,21.2k,22.1k,25.5k,28.6k,31.1k,33.2k,35.3k,37.6k
Mauritania,7580,9430,2330,2330,3980,4410,2260,3720,3930,4040,5280,3060,4320,4000,,3850,3840,3790,3620,3650,3070,,,,3330,2160,2690,2970
Montserrat,1,0,0,1,7,9,5,13,6,5,1,1,0,,0,,,,1,2,0,0,0,1,0,1,0,2
Mauritius,132,157,121,152,118,111,119,117,114,129,119,134,130,159,149,131,116,121,120,154,160,123,139,137,137,125,114,106
Malawi,4760,5030,4410,4710,4400,5340,6260,7580,8360,9430,12.4k,14.7k,14.2k,17.1k,19.5k,19.2k,20.6k,20.7k,22.7k,24.4k,23.6k,26.1k,24.6k,25.8k,27k,25.5k,25.1k,24.5k
Malaysia,11.2k,11k,11.9k,11.6k,10.6k,10.6k,10.7k,11.1k,10.9k,10.7k,11.7k,11.1k,11.4k,12.3k,11.7k,11.8k,12.7k,13.5k,14.1k,14.9k,15.1k,14.8k,14.4k,15.7k,15k,15.3k,16.1k,16.1k
Namibia,,,,,,4840,4430,3640,2820,3700,2670,2500,1760,5500,,1540,9630,9950,11.2k,10k,10.8k,13.1k,13.3k,14.5k,15k,14.9k,14.7k,15.2k
New Caledonia,108,128,120,171,144,104,98,74,111,128,143,140,140,104,97,87,104,88,90,78,94,61,65,38,61,47,48,47
